,Unnamed: 0,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface,gaussian_mean,gaussian_std
0,0,42,0,149,15,20,1.1403241277138392,0.0484964974982247,10,1.1393319599167535,0.048096138128339
1,1,43,50,151,15,20,1.080987520734469,0.0370224944574698,10,1.0815815086799385,0.03773324460538302
2,2,43,50,154,15,20,1.074216227889061,0.0248217873780098,10,1.0744422758305696,0.02578231464233449
3,3,44,50,154,15,20,1.0696364258527755,0.0217805464302887,10,1.0701709290188552,0.024770825169315596
4,4,45,50,154,15,20,1.0666889305909475,0.02089288208557,10,1.0657374772976222,0.022317995495041806
5,5,45,50,154,15,20,1.0642134644587835,0.0215242621261904,10,1.0637026795146087,0.023617003991741572
6,6,45,50,154,15,20,1.0595067431529364,0.020728952541452,10,1.0595691586197034,0.023721342687116058
7,7,46,50,155,15,20,1.0545000616709392,0.0180662483091668,10,1.0538510071860658,0.020415211634465816
8,8,46,50,156,15,20,1.053719065229098,0.0184232959241443,10,1.0538252466155222,0.020259162900029434
9,9,46,50,157,15,20,1.0541900376876194,0.0197113764762763,10,1.0538988037292722,0.021900784324681514
10,10,48,50,158,15,20,1.0468692348798116,0.0304885755742906,10,1.0461830822734672,0.03100790144375147
11,11,49,50,159,15,20,1.0468357570966085,0.0224375843872366,10,1.047370335830818,0.02363078964637524
12,12,49,50,159,15,20,1.0487807022730509,0.0189466657842053,10,1.0491098331193844,0.020586968628224143
13,13,50,50,159,15,20,1.0496263044277827,0.0200285901873932,10,1.0494762945808216,0.022136287977403295
14,14,50,50,159,15,20,1.0448709072669349,0.0217476215969409,10,1.0441172448088503,0.023289272379559117
15,15,50,50,159,15,20,1.0477014560302098,0.0178236382461687,10,1.0480262227761072,0.019672308921522635
16,16,50,50,159,15,20,1.0410642407337825,0.0169539792372567,10,1.040518856391481,0.018896922264202483
17,17,51,50,161,15,20,1.0358366664648055,0.0191439956161402,10,1.0352973482606203,0.021008360545268865
18,18,51,50,161,15,20,1.0384345876773198,0.0173319316661017,10,1.03851514641961,0.01947269989339171
19,19,50,50,163,15,20,1.034559807022413,0.0198524453797197,10,1.0339927945252068,0.022356218531316675
20,20,49,50,164,15,20,1.0413299077749252,0.027140851361048,10,1.0407912079148125,0.028841989368995073
21,21,50,50,164,15,20,1.03304256661733,0.0282515450357675,10,1.0323214897672255,0.02922535680725977
22,22,50,50,164,15,20,1.0328751595417658,0.0298366867704138,10,1.0324500940994203,0.03037035256854732
23,23,50,50,164,15,20,1.0330712530215582,0.024766159172071,10,1.0321316422950262,0.02687460321504839
24,24,50,50,164,15,20,1.0297061778306962,0.0227249932902268,10,1.029401530801324,0.02479509810695837
25,25,50,50,164,15,20,1.0284538778464,0.0228438509289906,10,1.028014781745002,0.02427279841677962
26,26,50,50,163,15,20,1.0324261430899302,0.0255535788441643,10,1.0308448390044604,0.027027743753566244
27,27,52,50,162,15,20,1.0307813297510149,0.0198271075819194,10,1.0299168784147519,0.020459598460270498
28,28,52,50,162,15,20,1.026768099308014,0.0170522935420539,10,1.0265681254608687,0.019096584069019915
29,29,52,50,162,15,20,1.026925995628039,0.017488322382287,10,1.027042966957156,0.020017129605929593
30,30,52,50,162,15,20,1.023735315044721,0.0168015076473294,10,1.0236967876085483,0.019031238424648787
31,31,52,50,162,15,20,1.0263147057294846,0.0164240386537762,10,1.025785515942361,0.01897475466497199
32,32,52,50,162,15,20,1.0226470853885017,0.0166698900105366,10,1.021746953286171,0.018827227505281166
33,33,54,50,162,15,20,1.0191318170229593,0.0181856221387303,10,1.0183288003835078,0.020023270673987167
